iter	MultiClass
0	1.723323133
1	1.666830817
2	1.620337412
3	1.583620018
4	1.550388448
5	1.523074648
6	1.498550445
7	1.476945659
8	1.4586473
9	1.442112306
10	1.42716144
11	1.416580676
12	1.404953238
13	1.393849894
14	1.384856852
15	1.375353683
16	1.368219471
17	1.36045504
18	1.353751488
19	1.34802792
20	1.342490308
21	1.3380909
22	1.333574142
23	1.329860158
24	1.32575415
25	1.322737655
26	1.320099616
27	1.316666925
28	1.314384022
29	1.311821764
30	1.309377786
31	1.307029556
32	1.304347833
33	1.302459248
34	1.300670068
35	1.298924336
36	1.296617766
37	1.295394287
38	1.294335597
39	1.292703742
40	1.291342672
41	1.29020147
42	1.288770963
43	1.288073429
44	1.286746153
45	1.285641599
46	1.284834418
47	1.283932631
48	1.282873856
49	1.281832811
50	1.280870802
51	1.280270872
52	1.279645527
53	1.278989167
54	1.278226842
55	1.277820349
56	1.277221306
57	1.276601298
58	1.275935819
59	1.275874221
60	1.275415528
61	1.274847601
62	1.274063913
63	1.273839483
64	1.273303935
65	1.272531321
66	1.271743594
67	1.270924084
68	1.27004483
69	1.269640192
70	1.268828574
71	1.26829952
72	1.267710534
73	1.266965539
74	1.266277887
75	1.265749221
76	1.265150726
77	1.263923681
78	1.263326725
79	1.262970548
80	1.262450809
81	1.261993229
82	1.261589102
83	1.261169109
84	1.26086588
85	1.2605305
86	1.260037352
87	1.25949368
88	1.25915496
89	1.259053288
90	1.258190477
91	1.258073814
92	1.257696699
93	1.257010884
94	1.256563164
95	1.256140226
96	1.255958634
97	1.255520953
98	1.255227162
99	1.254909383
100	1.254316758
101	1.253907648
102	1.253492439
103	1.253027693
104	1.252596289
105	1.252232171
106	1.25160011
107	1.251029906
108	1.250440107
109	1.250200037
110	1.249782538
111	1.249513073
112	1.249244794
113	1.248345899
114	1.24813668
115	1.247777172
116	1.24737259
117	1.24685341
118	1.246291748
119	1.245048073
120	1.244735802
121	1.244527239
122	1.244079857
123	1.243655214
124	1.243331317
125	1.24275513
126	1.242129069
127	1.242001444
128	1.241245684
129	1.240771056
130	1.24130	1.24131	1.239652644
132	1.2132	1.246133	1.2133	1.245134	1.2134	1.245135	1.2135	1.244136	1.23791443
137	1.23137	1.24138	1.23138	1.24139	1.23139	1.24140	1.235475469
141	1.23509526
142	1.234627729
143	1.234143	1.2144	1.233144	1.2145	1.233145	1.146	1.2330146	1.147	1.2328147	1.148	1.2327148	1.149	1.232149	1.2150	1.232150	1.2151	1.231151	1.238839058
152	1.238618935
153	1.238267302
154	1.237769329
155	1.237463328
156	1.236712331
157	1.236339539
158	1.235957879
159	1.235674118
160	1.235417633
161	1.234994017
162	1.234680132
163	1.234600818
164	1.234337318
165	1.233790915
166	1.233487432
167	1.233163533
168	1.23276242
169	1.232621008
170	1.232326313
171	1.231877171
172	1.231522859
173	1.231151218
174	1.231016949
175	1.230736456
176	1.230086622
177	1.229791501
178	1.22946044
179	1.228825411
180	1.228673882
181	1.228388276
182	1.22827311
183	1.227896856
184	1.227689102
185	1.227444742
186	1.227139945
187	1.226661725
188	1.226362702
189	1.225997604
190	1.225897445
191	1.225518924
192	1.22507971
193	1.224691548
194	1.224182023
195	1.224006516
196	1.223613617
197	1.223382624
198	1.223242256
199	1.222918927
200	1.222633536
201	1.222407506
202	1.222122903
203	1.221851303
204	1.221527773
205	1.221254145
206	1.221053408
207	1.22088209
208	1.220560936
209	1.2210	1.213210	1.2211	1.213211	1.219982514
212	1.219794329
213	1.219586535
214	1.219453651
215	1.219120981
216	1.219038733
217	1.21874686
218	1.218686825
219	1.218203472
220	1.21805982
221	1.217692238
222	1.217504434
223	1.217122348
224	1.21680425
225	1.216487317
226	1.216312904
227	1.216130455
228	1.215891025
229	1.215587491
230	1.215401927
231	1.215006887
232	1.214469854
233	1.214104634
234	1.213836701
235	1.213669571
236	1.213558302
237	1.213263756
238	1.212786124
239	1.212704329
240	1.212487993
241	1.212247036
242	1.211869414
243	1.21153202
244	1.211344947
245	1.211058444
246	1.210900962
247	1.210748078
248	1.210470914
249	1.210396328
250	1.21001042
251	1.209627189
252	1.209351398
253	1.20916896
254	1.209027298
255	1.208722266
256	1.208488166
257	1.208108047
258	1.207990706
259	1.20760008
260	1.207459977
261	1.207186527
262	1.206986236
263	1.206747133
264	1.206423232
265	1.206169635
266	1.205854339
267	1.205764309
268	1.205508248
269	1.205199855
270	1.20494176
271	1.204723167
272	1.20458615
273	1.204422319
274	1.204316996
275	1.204218854
276	1.203950484
277	1.203573713
278	1.203194178
279	1.202773334
280	1.20245039
281	1.20224007
282	1.201939106
283	1.201810663
