iter	Passed	Remaining
0	72	71994
1	84	42284
2	100	33514
3	115	28830
4	134	26761
5	149	24825
6	161	22973
7	178	22126
8	190	21026
9	203	20101
10	216	19429
11	226	18641
12	235	17908
13	250	17638
14	260	17122
15	272	16737
16	283	16411
17	293	15985
18	301	15558
19	311	15274
20	322	15011
21	335	14929
22	346	14737
23	356	14502
24	370	14439
25	381	14306
26	392	14150
27	404	14052
28	415	13902
29	426	13774
30	437	13680
31	448	13581
32	461	13520
33	471	13401
34	482	13295
35	492	13186
36	501	13042
37	513	12988
38	524	12921
39	536	12874
40	547	12811
41	559	12772
42	572	12739
43	585	12723
44	597	12669
45	608	12623
46	620	12589
47	631	12529
48	642	12477
49	655	12447
50	663	12344
51	675	12308
52	687	12286
53	699	12246
54	709	12182
55	719	12132
56	729	12073
57	740	12023
58	750	11968
59	759	11905
60	769	11852
61	779	11800662	791	11766663	800	11713664	810	11662665	822	11636666	832	11591667	844	11575668	856	11556669	867	11524770	880	11522771	901	11620772	914	11612773	927	11610774	941	11615775	954	11608776	966	11584777	979	11580
78	990	11543
79	1002	11532
80	1021	11586
81	1039	11641
82	1059	11704
83	1069	11665
84	1084	11674
85	1097	11661
86	1110	11651
87	1126	11675
88	1138	11652
89	1148	11611
90	1161	11601
91	1173	11582
92	1184	11552
93	1197	11541
94	1209	11521
95	1222	11513
96	1234	11494
97	1248	11489
98	1258	11456
99	1268	11417
100	1279	11385
101	1289	11351
102	1298	11310
103	1308	11277
104	1318	11242
105	1330	11225
106	1343	11213
107	1354	11190
108	1364	11153
109	1373	11116
110	1382	11071
111	1393	11049
112	1403	11013
113	1415	11002
114	1423	10953
115	1432	10915
116	1439	10863
117	1445	10806
118	1456	10783
119	1462	10725
120	1473	10704
121	1480	10652
122	1490	10629
123	1502	10611
124	1514	10598
125	1525	10579
126	1537	10567
127	1556	10601
128	1576	10643
129	1587	10621
130	1604	10646
131	1627	10703
132	1671	10897
133	1690	10927
134	1703	10912
135	1722	10941
136	1715	10803
137	1760	10996
138	1779	11021
139	1797	11042
140	1794	10930
141	1808	10927
142	1825	10937
143	1862	11069
144	1877	11073
145	1890	11058
146	1903	11047
147	1919	11047
148	1935	11055
149	1947	11037
150	1964	11043
151	1980	11049
152	1993	11034
153	2009	11039
154	2027	11050
155	2038	11029
156	2048	11000
157	2060	10980
158	2073	10968
159	2084	10945
160	2101	10949
161	2113	10933
162	2125	10913
163	2140	10910
164	2157	10918
165	2170	10902
166	2183	10889
167	2196	10878
168	2211	10876
169	2228	10881
170	2242	10869
171	2255	10859
172	2265	10828
173	2274	10797
174	2284	10769
175	2294	10742
176	2303	10712
177	2313	10681
178	2322	10654
179	2333	10628
180	2344	10608
181	2352	10573
182	2362	10549
183	2373	10525
184	2383	10498
185	2395	10482
186	2406	10461
187	2418	10446
188	2442	10480
189	2459	10486
190	2472	10473
191	2486	10462
192	2501	10458
193	2517	10458
194	2539	10482
195	2562	10513
196	2584	10535
197	2601	10535
198	2615	10528
199	2634	10537
200	2649	10531
201	2661	10513
202	2675	10505
203	2692	10505
204	2705	10493
205	2718	10478
206	2736	10485
207	2752	10479
208	2764	10462
209	2776	10444
210	2788	10425
211	2803	10419
212	2818	10413
213	2831	10398
214	2843	10382
215	2857	10370
216	2874	10370
217	2885	10350
218	2895	10326
219	2909	10317
220	2919	10290
221	2928	10263
222	2937	10233
223	2944	10201
224	2955	10178
225	2965	10156
226	2977	10138
227	2988	10119
228	2999	10099
229	3014	10091
230	3025	10071
231	3037	10055
232	3048	10034
233	3059	10016
234	3071	9998
235	3080	9973
236	3093	9959
237	3103	9937
238	3112	9910
239	3120	9881
240	3130	9857
241	3138	9831
242	3147	9806
243	3160	9791
244	3174	9781
245	3182	9755
246	3192	9732
247	3201	9709
248	3211	9687
249	3221	9664
250	3229	9637
251	3239	9615
252	3248	9592
253	3258	9570
254	3267	9547
255	3277	9524
256	3285	9499
257	3295	9477
258	3305	9457
259	3316	9438
260	3324	9413
261	3333	9391
262	3343	9370
263	3357	9361
264	3374	9358
265	3388	9349
266	3401	9339
267	3413	9323
268	3424	9306
269	3435	9287
270	3445	9267
271	3455	9248
272	3467	9233
273	3476	9212
274	3488	9198
275	3498	9177
276	3506	9153
277	3516	9132
278	3525	9110
279	3534	9087
280	3544	9069
281	3553	9047
282	3565	9032
283	3576	9017
284	3586	8996
285	3595	8975
286	3606	8960
287	3615	8939
288	3623	8914
289	3635	8900
290	3647	8885
291	3657	8867
292	3669	8855
293	3681	8839
294	3694	8829
295	3703	8807
296	3714	8791
297	3722	8769
298	3734	8754
299	3744	8736
300	3751	8712
301	3764	8700
302	3775	8684
303	3783	8662
304	3794	8646
305	3803	8625
306	3814	8610
307	3825	8594
308	3837	8580
309	3846	8561
310	3858	8547
311	3867	8527
312	3875	8505
313	3884	8485
314	3895	8470
315	3904	8452
316	3913	8431
317	3924	8416
318	3934	8400
319	3943	8379
320	3951	8358
321	3959	8336
322	3971	8324
323	3979	8302
324	3989	8286
325	3998	8267
326	4008	8249
327	4017	8230
328	4026	8211
329	4036	8196
330	4046	8178
331	4057	8164
332	4067	8147
333	4076	8128
334	4084	8108
335	4094	8091
336	4104	8075
337	4114	8057
338	4123	8039
339	4132	8021
340	4142	8005
341	4152	7988
342	4162	7972
343	4172	7956
344	4181	7938
345	4192	7924
346	4203	7909
347	4214	7895
348	4224	7880
349	4233	7862
350	4242	7843
351	4251	7826
352	4261	7811
353	4271	7795
354	4281	7779
355	4292	7764
356	4302	7749
357	4313	7734
358	4323	7720
359	4332	7701
360	4341	7684
361	4353	7672
362	4366	7662
363	4380	7653
364	4398	7651
365	4411	7641
366	4423	7630
367	4433	7614
368	4446	7603
369	4457	7589
370	4472	7582
371	4482	7566
372	4493	7553
373	4503	7538
374	4513	7523
375	4524	7509
376	4532	7490
377	4542	7474
378	4552	7459
379	4561	7442
380	4574	7432
381	4586	7420
382	4598	7407
383	4609	7394
384	4621	7382
385	4631	7366
386	4638	7347
387	4649	7333
388	4660	7320
389	4671	7306
390	4681	7292
391	4691	7276
392	4700	7260
393	4708	7242
394	4719	7228
395	4729	7212
396	4739	7198
397	4749	7183
398	4761	7171
399	4770	7156
400	4780	7140
401	4789	7125
402	4801	7112
403	4809	7095
404	4819	7081
405	4829	7065
406	4839	7050
407	4847	7033
408	4854	7014
409	4864	7000
410	4878	6990
411	4896	6988
412	4909	6977
413	4920	6964
414	4931	6952
415	4943	6939
416	4952	6923
417	4962	6909
418	4975	6898
419	4986	6885
420	4998	6874
421	5010	6862
422	5021	6849
423	5030	6834
424	5044	6824
425	5055	6811
426	5065	6797
427	5076	6784
428	5087	6771
429	5097	6757
430	5106	6741
431	5119	6731
432	5130	6718
433	5140	6703
434	5150	6689
435	5158	6673
436	5170	6661
437	5180	6646
438	5189	6631
439	5200	6619
440	5210	6604
441	5220	6590
442	5231	6578
443	5244	6566
444	5255	6554
445	5265	6540
446	5275	6526
447	5285	6512
448	5294	6497
449	5303	6482
450	5313	6468
451	5323	6453
452	5333	6439
453	5344	6427
454	5354	6413
455	5365	6400
456	5377	6389
457	5387	6375
458	5401	6366
459	5415	6356
460	5426	6344
461	5437	6331
462	5449	6320
463	5460	6308
464	5472	6296
465	5483	6283
466	5493	6269
467	5503	6255
468	5513	6242
469	5523	6228
470	5533	6214
471	5544	6201
472	5555	6189
473	5565	6175
474	5577	6164
475	5587	6150
476	5597	6137
477	5607	6124
478	5617	6110
479	5625	6094
480	5636	6081
481	5645	6067
482	5656	6054
483	5665	6040
484	5677	6028
485	5690	6018
486	5701	6005
487	5711	5992
488	5720	5977
489	5730	5963
490	5739	5949
491	5752	5939
492	5762	5925
493	5772	5912
494	5786	5903
495	5797	5890
496	5807	5877
497	5817	5864
498	5826	5849
499	5835	5835
500	5844	5821
501	5860	5813
502	5872	5802
503	5885	5792
504	5894	5778
505	5906	5766
506	5915	5752
507	5924	5738
508	5934	5724
509	5944	5711
510	5953	5697
511	5962	5682
512	5971	5669
513	5980	5655
514	5990	5641
515	6000	5627
516	6009	5614
517	6019	5601
518	6031	5589
519	6043	5578
520	6052	5564
521	6061	5550
522	6071	5537
523	6086	5528
524	6096	5516
525	6108	5504
526	6118	5491
527	6127	5477
528	6139	5466
529	6149	5453
530	6160	5441
531	6169	5427
532	6179	5414
533	6189	5400
534	6199	5388
535	6210	5376
536	6220	5363
537	6227	5347
538	6238	5335
539	6247	5322
540	6258	5310
541	6271	5299
542	6284	5289
543	6293	5275
544	6304	5262
545	6315	5250
546	6322	5236
547	6332	5222
548	6343	5210
549	6353	5198
550	6363	5185
551	6373	5172
552	6390	5165
553	6402	5153
554	6417	5145
555	6431	5135
556	6441	5123
557	6453	5112
558	6466	5101
559	6477	5089
560	6489	5077
561	6498	5064
562	6507	5050
563	6517	5038
564	6526	5024
565	6535	5011
566	6545	4998
567	6554	4984
568	6564	4972
569	6574	4959
570	6585	4947
571	6594	4934
572	6605	4922
573	6612	4907
574	6626	4897
575	6635	4884
576	6644	4871
577	6655	4859
578	6663	4845
579	6673	4832
580	6681	4818
581	6690	4804
582	6701	4793
583	6713	4782
584	6722	4768
585	6732	4756
586	6744	4745
587	6753	4732
588	6762	4718
589	6771	4705
590	6781	4693
591	6790	4679
592	6798	4666
593	6808	4653
594	6816	4639
595	6823	4625
596	6833	4612
597	6840	4598
598	6849	4585
599	6860	4573
600	6870	4560
601	6880	4549
602	6890	4536
603	6900	4523
604	6909	4511
605	6919	4498
606	6929	4486
607	6937	4473
608	6948	4461
609	6958	4448
610	6968	4436
611	6979	4424
612	6987	4411
613	6996	4398
614	7004	4384
615	7013	4371
616	7022	4359
617	7030	4345
618	7038	4332
619	7049	4320
620	7059	4308
621	7068	4295
622	7078	4283
623	7087	4270
624	7096	4258
625	7106	4245
626	7116	4233
627	7126	4221
628	7136	4209
629	7146	4197
630	7156	4184
631	7167	4173
632	7177	4161
633	7188	4149
634	7196	4136
635	7206	4124
636	7217	4112
637	7227	4100
638	7235	4087
639	7245	4075
640	7253	4062
641	7263	4050
642	7271	4037
643	7283	4026
644	7291	4013
645	7301	4001
646	7313	3989
647	7322	3977
648	7334	3966
649	7347	3956
650	7355	3943
651	7364	3930
652	7375	3919
653	7385	3907
654	7394	3894
655	7403	3882
656	7413	3870
657	7423	3858
658	7433	3846
659	7444	3835
660	7455	3823
661	7468	3813
662	7479	3801
663	7492	3791
664	7503	3779
665	7510	3766
666	7519	3754
667	7528	3741
668	7538	3730
669	7546	3717
670	7557	3705
671	7567	3693
672	7581	3683
673	7595	3673
674	7624	3670
675	7638	3661
676	7657	3653
677	7674	3644
678	7686	3633
679	7703	3625
680	7722	3617
681	7735	3606
682	7752	3598
683	7770	3589
684	7832	3601
685	7863	3599
686	7893	3596
687	7928	3595
688	7950	3588
689	7985	3587
690	8029	3590
691	8061	3587
692	8091	3584
693	8118	3579
694	8160	3581
695	8190	3577
696	8223	3574
697	8247	3568
698	8276	3563
699	8300	3557
700	8324	3550
701	8352	3545
702	8388	3544
703	8420	3540
704	8453	3537
705	8489	3535
706	8520	3531
707	8547	3525
708	8582	3522
709	8661	3537
710	8710	3540
711	8747	3538
712	8790	3538
713	8860	3549
714	8900	3547
715	8944	3547
716	8995	3550
717	9030	3546
718	9058	3540
719	9130	3550
720	9158	3544
721	9184	3536
722	9268	3550
723	9347	3563
724	9388	3561
725	9450	3566
726	9523	3576
727	9609	3590
728	9685	3600
729	9821	3632
730	9909	3646
731	9958	3645
732	10005	3644
733	10051	3642
734	10132	3653
735	10276	3686
736	10316	3681
737	10406	3694
738	10473	3698
739	10553	3708
740	10614	3709
741	10642	3700
742	10684	3695
743	10803	3717
744	10892	3728
745	10975	3736
746	11001	3725
747	11067	3728
748	11147	3735
749	11236	3745
750	11288	3742
751	11335	3738
752	11395	3737
753	11428	3728
754	11471	3722
755	11513	3716
756	11544	3705
757	11589	3700
758	11630	3692
759	11657	3681
760	11680	3668
761	11722	3661
762	11807	3667
763	11857	3662
764	11888	3651
765	11962	3654
766	11987	3641
767	12011	3628
768	12042	3617
769	12070	3605
770	12108	3596
771	12150	3588
772	12199	3582
773	12234	3572
774	12272	3562
775	12296	3549
776	12347	3543
777	12384	3533
778	12427	3525
779	12460	3514
780	12497	3504
781	12529	3492
