iter	RMSE
0	0.6944948749
1	0.6688222921
2	0.6451768553
3	0.6231246042
4	0.6030909626
5	0.5840784368
6	0.5667673871
7	0.5511066314
8	0.535864804
9	0.5214344604
10	0.5089873297
11	0.497928072
12	0.4874452915
13	0.4779922211
14	0.4685274932
15	0.4604342953
16	0.4526490311
17	0.4452772657
18	0.4384139982
19	0.4332700885
20	0.427653905
21	0.4221425296
22	0.4180888365
23	0.4134719425
24	0.409512819
25	0.4053792137
26	0.4021335805
27	0.3989910887
28	0.3961005601
29	0.393193226
30	0.390668989
31	0.3880064183
32	0.3856184364
33	0.3832979384
34	0.3812232833
35	0.3792847228
36	0.3774935997
37	0.3758692156
38	0.3743539863
39	0.3731898405
40	0.3717057388
41	0.3701062881
42	0.3691616725
43	0.3679603265
44	0.3667444478
45	0.3658039551
46	0.3648018068
47	0.3639603517
48	0.3630810261
49	0.3620452179
50	0.3612617888
51	0.3604489293
52	0.359704161
53	0.35906411
54	0.358364396
55	0.3577073099
56	0.3569039322
57	0.3562943976
58	0.3557184323
59	0.3550217658
60	0.3545455098
61	0.3538810426
62	0.3533412942
63	0.3527853109
64	0.3522213958
65	0.3516320992
66	0.3511445969
67	0.3507099559
68	0.3501874566
69	0.3497562457
70	0.3492804234
71	0.3489315853
72	0.3481211931
73	0.3476705993
74	0.3472884035
75	0.3468830726
76	0.3465242698
77	0.3460893339
78	0.3456393256
79	0.3454360956
80	0.3450042972
81	0.3446118572
82	0.3441524616
83	0.3438147659
84	0.3434720643
85	0.3431643858
86	0.3427558555
87	0.3423936761
88	0.342038438
89	0.3417947851
90	0.3415693447
91	0.3413059578
92	0.3409765085
93	0.3406990609
94	0.3404401993
95	0.3401809515
96	0.339952573
97	0.3397108377
98	0.3394760062
99	0.3392232894
100	0.3390043593
101	0.3383718052
102	0.3378381132
103	0.3375801693
104	0.337403383
105	0.3372499949
106	0.3370165874
107	0.3367704615
108	0.3365707984
109	0.336531499
110	0.3362767692
111	0.3356371546
112	0.3354195087
113	0.3352961593
