iter	Passed	Remaining
0	6	6400
1	13	6969
2	20	6698
3	26	6515
4	32	6502
5	38	6439
6	44	6381
7	50	6310
8	56	6266
9	63	6335
10	69	6283
11	75	6246
12	82	6233
13	87	6196
14	94	6185
15	100	6174
16	106	6168
17	112	6161
18	118	6141
19	125	6138
20	131	6142
21	137	6129
22	143	6116
23	149	6089
24	155	6081
25	162	6091
26	168	6073
27	175	6076
28	181	6063
29	187	6074
30	194	6076
31	200	6075
32	207	6087
33	215	6111
34	222	6144
35	229	6153
36	236	6146
37	242	6143
38	248	6133
39	255	6120
40	261	6108
41	267	6096
42	273	6084
43	279	6074
44	286	6079
45	293	6092
46	302	6135
47	309	6145
48	316	6147
49	323	6147
50	329	6136
51	336	6125
52	342	6122
53	348	6109
54	354	6096
55	360	6074
56	366	6063
57	372	6055
58	378	6040
59	385	6041
60	391	6029
61	398	6022
62	404	6019
63	411	6012
64	417	6007
65	423	5997
66	430	5991
67	436	5987
68	443	5985
69	450	5984
70	457	5984
71	463	5972
72	469	5965
73	476	5957
74	482	5947
75	488	5940
76	494	5931
77	501	5928
78	508	5923
79	514	5915
80	520	5904
81	527	5900
82	533	5898
83	540	5891
84	546	5887
85	553	5881
86	560	5879
87	566	5873
88	573	5869
89	582	5885
90	589	5886
91	596	5890
92	603	5883
93	610	5881
94	616	5873
95	623	5871
96	631	5875
97	637	5869
98	645	5872
99	652	5869
100	658	5862
101	665	5858
102	672	5853
103	678	5843
104	684	5833
105	690	5827
106	697	5822
107	704	5815
108	710	5811
109	717	5802
110	724	5801
111	730	5794
112	737	5790
113	744	5784
114	751	5781
115	757	5776
116	764	5772
117	771	5769
118	778	5765
119	785	5758
120	792	5755
121	798	5747
122	805	5745
123	812	5737
124	818	5731
125	825	5725
126	831	5718
127	839	5716
128	845	5710
129	853	5710
130	859	5703
131	865	5693
132	872	5687
133	878	5678
134	884	5669
135	891	5661
136	898	5656
137	905	5654
138	912	5651
139	919	5646
140	925	5640
141	932	5633
142	939	5631
143	946	5625
144	952	5618
145	960	5616
146	967	5614
147	973	5604
148	981	5605
149	988	5601
150	995	5598
151	1002	5592
152	1008	5584
153	1015	5580
154	1022	5574
155	1030	5577
156	1038	5576
157	1046	5575
158	1053	5571
159	1059	5563
160	1066	5555
161	1072	5549
162	1080	5546
163	1086	5539
164	1093	5535
165	1100	5528
166	1107	5525
167	1114	5520
168	1121	5513
169	1128	5510
170	1135	5504
171	1142	5499
172	1149	5496
173	1156	5491
174	1163	5487
175	1170	5480
176	1178	5481
177	1186	5477
178	1193	5472
179	1200	5466
180	1206	5459
181	1213	5451
182	1219	5444
183	1226	5440
184	1233	5435
185	1240	5429
186	1247	5422
187	1254	5418
188	1261	5413
189	1268	5408
190	1275	5403
191	1282	5395
192	1289	5393
193	1297	5389
194	1304	5384
195	1311	5379
196	1318	5374
197	1325	5369
198	1332	5362
199	1339	5357
200	1346	5351
201	1353	5345
202	1360	5340
203	1367	5337
204	1375	5334
205	1382	5329
206	1390	5326
207	1397	5320
208	1404	5316
209	1411	5310
210	1420	5313
211	1428	5310
212	1436	5306
213	1442	5298
214	1449	5292
215	1456	5286
216	1463	5282
217	1470	5275
218	1477	5267
219	1483	5260
220	1490	5253
221	1496	5243
222	1501	5231
223	1507	5223
224	1514	5216
225	1521	5209
226	1527	5202
227	1534	5195
228	1540	5186
229	1547	5179
230	1553	5171
231	1559	5163
232	1566	5156
233	1573	5149
234	1580	5144
235	1586	5136
236	1593	5130
237	1600	5123
238	1606	5116
239	1613	5110
240	1620	5103
241	1626	5095
242	1633	5089
243	1640	5084
244	1647	5076
245	1653	5067
246	1661	5063
247	1667	5057
248	1674	5050
249	1680	5041
250	1686	5032
251	1693	5025
252	1698	5016
253	1705	5007
254	1711	5000
255	1718	4992
256	1724	4984
257	1730	4976
258	1736	4967
